Naam	1985-1989	1990-1994	1995-1999	2000-2004	1983-2006
Aafje (V)	40	33	26	12	131
Aafke (V)	219	177	124	96	744
Aagje (V)	75	62	53	40	272
Aagtje (V)	8	5	6	6	29
Aaliyah (V)	0	0	40	147	257
Aaltje (V)	568	469	367	291	2085
Aaltjen (V)	16	8	7	10	48
Aaltsje (V)	5	15	6	7	37
Aantje (V)	12	4	8	5	44
Aarti (V)	35	19	3	4	80
Aartie (V)	15	6	3	0	33
Aartje (V)	183	155	107	71	604
Aaya (V)	0	2	7	10	27
Abbey (V)	3	6	3	9	30
Abby (V)	2	17	10	36	83
Abbygail (V)	4	7	5	8	29
Abida (V)	14	15	5	2	54
Abigail (V)	69	97	155	213	640
Abigaël (V)	11	9	15	14	62
Abigaïl (V)	12	12	15	17	69
Abir (V)	8	13	30	42	100
Abygail (V)	4	9	6	5	29
Acelya (V)	1	2	5	16	27
Ada (V)	24	27	17	30	115
Adaja (V)	3	8	6	3	27
Adela (V)	14	17	7	7	50
Adelheid (V)	7	6	8	4	31
Adelina (V)	6	16	14	15	58
Adeline (V)	20	18	9	11	65
Adina (V)	7	2	16	5	34
Adinda (V)	105	101	77	58	378
Adisa (V)	8	8	7	4	30
Adna (V)	1	13	6	16	43
Adriaantje (V)	73	56	46	28	244
Adriana (V)	1453	1218	873	654	5016
Adriane (V)	15	18	8	8	58
Adrianne (V)	17	19	26	11	85
Adrie (V)	9	7	11	6	41
Adrienne (V)	36	22	21	8	94
Adriënne (V)	35	38	38	20	152
Afaf (V)	19	20	13	9	68
Afke (V)	80	41	48	37	257
Afra (V)	53	52	50	33	209
Agata (V)	7	8	4	1	27
Agatha (V)	82	65	35	26	248
Agathe (V)	10	6	6	2	29
Agnes (V)	245	186	118	72	788
Agneta (V)	20	5	1	0	34
Agnetha (V)	33	12	6	1	80
Agnieszka (V)	23	6	5	4	47
Agnita (V)	12	8	5	3	35
Ahalam (V)	0	18	17	2	37
Ahlam (V)	49	53	98	111	356
Ahsen (V)	1	1	14	16	48
Ai (V)	5	5	8	4	28
Aicha (V)	149	92	52	66	456
Aida (V)	57	38	30	45	194
Aike (V)	9	21	12	6	54
Aileen (V)	48	100	107	69	350
Aimee (V)	22	43	53	65	237
Aimy (V)	3	11	20	23	79
Aimée (V)	107	145	212	285	924
Ainhoa (V)	0	1	5	17	29
Aisa (V)	5	11	12	14	44
Aischa (V)	5	5	5	10	27
Aisha (V)	53	65	119	140	463
Aisling (V)	10	6	4	6	28
Aislinn (V)	1	9	3	11	29
Aissa (V)	9	10	3	4	28
Ajla (V)	6	6	17	41	91
Akke (V)	46	57	26	32	199
Akkelien (V)	11	10	5	2	31
Alaa (V)	5	11	6	14	43
Alana (V)	27	47	71	57	252
Alanis (V)	0	0	13	18	36
Alannah (V)	0	13	9	8	33
Alara (V)	0	1	7	11	36
Alba (V)	7	8	28	27	82
Alberdina (V)	92	74	42	24	277
Alberta (V)	76	70	45	32	267
Albertha (V)	81	58	35	30	244
Albertien (V)	14	5	2	0	29
Albertina (V)	29	43	18	11	133
Albertine (V)	97	79	48	23	306
Albertje (V)	60	41	47	26	201
Albina (V)	3	6	4	12	30
Aleid (V)	13	14	9	8	49
Aleida (V)	163	135	88	76	579
Alejandra (V)	13	13	9	7	52
Aleksandra (V)	33	27	29	19	127
Alena (V)	10	7	17	20	68
Alessa (V)	4	7	12	21	47
Alessandra (V)	15	19	27	25	98
Alessia (V)	13	17	22	53	126
Alet (V)	11	9	6	3	31
Aletta (V)	80	93	69	47	343
Alette (V)	43	43	29	19	169
Alev (V)	53	19	16	5	108
Alex (V)	6	24	23	33	102
Alexa (V)	9	20	16	7	71
Alexandra (V)	712	597	403	241	2280
Alexia (V)	9	16	16	18	92
Alexis (V)	11	19	11	7	62
Aleyna (V)	0	3	185	446	766
