Naam	1985-1989	1990-1994	1995-1999	2000-2004	1983-2006
A (M)	3	31	3	0	39
Aad (M)	16	14	14	1	49
Aalbert (M)	32	28	21	22	127
Aaldert (M)	42	35	31	13	158
Aaldrik (M)	12	9	7	5	39
Aalt (M)	80	80	54	51	323
Aarnoud (M)	9	4	4	5	30
Aarnout (M)	12	13	9	7	49
Aaron (M)	116	237	436	409	1394
Aart (M)	375	314	266	219	1368
Aart-Jan (M)	24	8	4	7	51
Abbas (M)	21	17	14	18	85
Abd (M)	3	5	11	5	30
Abdalla (M)	6	4	11	10	33
Abdallah (M)	8	24	14	39	102
Abdel (M)	81	61	61	32	286
Abdelali (M)	26	29	15	16	100
Abdelaziz (M)	99	56	40	19	273
Abdelfattah (M)	21	9	5	5	45
Abdelghafour (M)	16	13	10	7	59
Abdelghani (M)	23	28	18	8	84
Abdelhadi (M)	12	11	7	5	41
Abdelhafid (M)	53	32	9	9	128
Abdelhak (M)	82	58	36	17	232
Abdelhakim (M)	93	61	25	23	246
Abdelhalim (M)	24	16	6	4	64
Abdelhamid (M)	49	33	16	6	128
Abdelilah (M)	115	119	89	57	438
Abdeljalil (M)	8	4	10	13	43
Abdelkader (M)	49	34	14	16	138
Abdelkarim (M)	143	85	57	51	392
Abdelkhalek (M)	19	15	8	3	50
Abdellah (M)	133	119	104	74	519
Abdellatif (M)	51	27	15	12	140
Abdelmajid (M)	84	48	27	14	212
Abdelmalek (M)	15	21	9	8	66
Abdelmalik (M)	8	4	2	10	31
Abdelmounaim (M)	26	22	18	8	82
Abdelouahab (M)	27	9	10	4	73
Abdelouahed (M)	31	27	14	7	92
Abdelouahid (M)	39	16	7	2	78
Abdelrahman (M)	2	3	15	22	48
Abdelwahed (M)	2	10	7	12	32
Abdennour (M)	10	17	21	12	72
Abderrahim (M)	126	104	62	26	369
Abderrahman (M)	58	63	45	50	271
Abderrahmane (M)	22	15	4	11	69
Abderrazak (M)	22	16	8	0	54
Abdeslam (M)	46	18	8	5	106
Abdessalam (M)	9	3	8	7	33
Abdessamad (M)	98	84	76	42	338
Abdi (M)	46	36	33	24	159
Abdiaziz (M)	16	8	9	5	38
Abdifatah (M)	8	6	7	3	30
Abdinasir (M)	8	6	3	5	27
Abdirahman (M)	46	34	47	39	177
Abdirizak (M)	7	13	4	2	31
Abdoel (M)	22	26	5	10	74
Abdou (M)	15	8	2	2	31
Abdoullah (M)	7	4	10	7	33
Abdul (M)	84	93	103	98	451
Abdulahi (M)	5	8	14	13	44
Abdulkadir (M)	31	26	31	16	130
Abdulkerim (M)	11	6	8	5	32
Abdullah (M)	214	214	207	184	947
Abdullahi (M)	15	19	47	26	113
Abdulrahman (M)	4	12	20	18	64
Abdurahman (M)	10	8	10	7	37
Abdurrahman (M)	52	51	41	32	207
Abdül (M)	7	22	26	13	75
Abdülkadir (M)	9	12	12	13	52
Abe (M)	22	39	82	109	295
Abel (M)	73	167	234	280	925
